handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_57b4787c-df73-c185-0c2b-d9b74b56306f,Product,Custom Cake Jewelry Box,<p>Custom Heart Cake Jewelry Box</p><p>12cm x 13.5cm x 5.5cm</p><p>Icing is scented with 'Cake Batter' scent</p><p>Handmade with Love 💜</p>,b09bd3_6a3b13747af548828166280d04e62e00~mv2.jpg;b09bd3_625c268ab42f484c9520428a4a6c36dc~mv2.jpg;b09bd3_2c8eaac9d0d048eb989404d0a716d5a6~mv2.jpg;b09bd3_4670f9c191c04555ac02cb71c67ecbcd~mv2.jpg;b09bd3_d1e930e0257d4d0999569ce27c64219e;b09bd3_1b49b4ecaf61468692c5f56564259e53~mv2.jpg;b09bd3_98569c42e78a47b89c9f9e2442e87237~mv2.jpg;b09bd3_9d3270d17ecd414a93fb427283e734cf~mv2.jpg;b09bd3_74aa376587b443b98ee2db2101252538~mv2.jpg;b09bd3_d397d2ba27c3453ebdf77159288d2daf~mv2.jpg;b09bd3_827c4d8946bd4a5b9598b066cfa35714~mv2.jpg;b09bd3_a55f56707ef74396b8e0641dd8f06335~mv2.jpg,Faux Cakes;New Items,,,40.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If you want to add text to your cake, type here what you would like it to say",500,false,,,,
product_ab33338c-2ca8-16ec-ff8b-b3d0024ef81d,Product,Faux Cake Heart Box,"<p>Scented Faux Cake Heart Box</p><p>8.5"" x 8.5"" x 4""</p><p>Silk Lined inside with a felt bottom</p><p>Scented with 'Cake Batter' scent</p><p>Handmade with Love 💜</p>",b09bd3_d1e3d503f9e540999dcc09db844d3826~mv2.jpg;b09bd3_1cd393ffd57644d38c013a1dfef62a89~mv2.jpg;b09bd3_2f54736875df47158b4ec9483dfabe73~mv2.jpg;b09bd3_d9442183d94f4163af5ad253300a8424;b09bd3_d31c98ad163d4847a4f20acfc9e65b7f~mv2.jpg;b09bd3_4d4e8c973de64bf6bb53060575f7250e~mv2.jpg;b09bd3_8b78f906350c43ec92122715a0a995aa~mv2.jpg;b09bd3_e078c91356b243aab3d323d5eff6e747~mv2.jpg;b09bd3_f58c634fde9e4ef2b3b683b6d3a25344~mv2.jpg,Faux Cakes;New Items,,,80.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2a14712a-7fc4-1ee2-3a73-b3af184b9020,Product,Faux Cake Heart Box,"<p>Scented Faux Cake Heart Box</p><p>7.5"" x 7.5"" x 3""</p><p>Silk Lined inside with a felt bottom</p><p>Scented with 'Cake Batter' scent</p><p>Handmade with Love 💜</p>",b09bd3_5bbbf950c85e45b0aead237661f3f998~mv2.jpg;b09bd3_9823ed5a47e847159ffa18046ec853c4~mv2.jpg;b09bd3_57254dfe262f4881b5000b5592581f00~mv2.jpg;b09bd3_f9edb2cfa1f64005bdb74e25e93f31a2;b09bd3_b7614c5f13d84284a8a764284326632c~mv2.jpg;b09bd3_0a1b92f1dedc40d893865add6efad49e~mv2.jpg;b09bd3_15be794fad8e460ab04fb5b866554cfd~mv2.jpg;b09bd3_54d9e36dd28841ae924e3492f45be460~mv2.jpg;b09bd3_c6478d58d78a4edb99cfbde1fda6cc9a~mv2.jpg;b09bd3_53675baeec8146408e2a602335260029~mv2.jpg;b09bd3_bd09416e154247148ddc1ee6e8d492a9~mv2.jpg;b09bd3_329628d5056b4fe7baab73df71be2f00~mv2.jpg;b09bd3_687fa12e283c4ab2a32da0c0d32ff102~mv2.jpg,Faux Cakes;New Items,,,75.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_18fdc2f4-00c7-7c56-b135-4ab844d2bd34,Product,Purple Dreams Faux Cake,"<p>Faux 6"" round Cake</p><p>Perfect to hang on a wall, use as a decoration, or just for fun!</p><p>Scented with Cake Batter scent</p><p>Made out of styrofoam with a purple felt bottom</p><p>Handmade with Love 💜</p>",b09bd3_3055b5ea17364fe09f145247f0317264~mv2.jpg;b09bd3_1dd628ac30334c8d9718bff6ec1c3973~mv2.jpg;b09bd3_5e9c73f9556e45059ef0892c7a675afe~mv2.jpg;b09bd3_f4d8d0fc70ff4962a4f17e82d6bac9b7~mv2.jpg;b09bd3_fbf780036cb247ffb2d53518567cb634~mv2.jpg;b09bd3_06c28cd9cec9486591f0b319eb160e29;b09bd3_3e16f931af2449b0abc5e90753aca736~mv2.jpg;b09bd3_6ca1404ed901498197441d97654f3ff9~mv2.jpg;b09bd3_81402756e0174618ad0c11b314997a48~mv2.jpg;b09bd3_39f53a54b39f4f84a6f72543990b1d53~mv2.jpg,Faux Cakes;New Items,,,45.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_373aa41a-a047-3de4-9d09-dbec8ddf5b34,Product,Cabernets,<p>Made out of Polymer Clay<br><br>14K Gold Plated Backings &amp; lightweight<br><br>Hand made with ♡</p>,b09bd3_51773aeb046a4dc9ad80daecd69966b2~mv2.jpg,Earrings;New Items,,,12.0,,true,AMOUNT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f7a63cc8-4251-22bb-c204-7a290484d7e7,Product,Rieslings,<p>Made out of Polymer Clay<br><br>Stainless Steal Earring Hooks &amp; lightweight<br><br>Hand made with ♡</p>,b09bd3_4a27685431ac4c4b9d7455ef509fd12f~mv2.jpg,Earrings;New Items,,,12.0,,true,AMOUNT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b4e7d434-49af-7d83-82b5-fdf6e648ea52,Product,Merlots,<p>Made out of Polymer Clay</p><p>&nbsp;</p><p>14K Gold Plated Backings &amp; lightweight<br><br>Hand made with ♡</p>,b09bd3_f04f3c3c08ae4335a56e4a7bd15f48c3~mv2.jpg;b09bd3_580b98df96954684bc63b0a152a98050~mv2.jpg,Earrings;New Items,,,14.0,,true,AMOUNT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2aded3e0-6a40-c7c0-1d82-f74446ee7e38,Product,Monet's Garden,<p>Made out of Polymer Clay</p><p>&nbsp;</p><p>14K Gold Plated Backings &amp; lightweight<br><br>Hand made with ♡</p>,b09bd3_d2f1d96f92b2420d807879fa637d6a79~mv2.jpg;b09bd3_56bb7e2acf814ef78494bb5b1b0ca50f~mv2.jpg,Earrings;New Items,,,18.0,,true,AMOUNT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8bd2936f-7985-eac6-f98e-4c15c8888543,Product,Sparkling Rose,<p>Made out of Polymer Clay</p><p>&nbsp;</p><p>14K Gold Plated Backings &amp; lightweight<br><br>Hand made with ♡</p>,b09bd3_7fa865da43a24aac8d3d295cd0b9ec49~mv2.jpg;b09bd3_4195812c4e9a460a8b9dd92e7be9cf86~mv2.jpg,Earrings;New Items,,,14.0,,true,AMOUNT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ca185b35-117b-4c3c-e495-fe4c0ba97700,Product,Pink Flamingos,<p>Made out of Polymer Clay<br><br>14K Gold Plated Backings &amp; lightweight<br><br>Hand made with ♡</p>,b09bd3_a8f86a5f3df44f6aab16d6f1b628a481~mv2.png,Earrings;New Items,,,12.0,,true,AMOUNT,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1ce611e9-429e-7b24-8901-7562f0ad0f53,Product,Pink Ladies,<p>Made out of Polymer Clay</p><p>&nbsp;</p><p>14K Gold Plated Backings &amp; lightweight<br><br>Hand made with ♡</p>,b09bd3_1d6822c1b2a5485b9f62ec5add99a3ee~mv2.jpg;b09bd3_63853610dc494928b2919bbb1a3fb851~mv2.jpg,Earrings;New Items,,,12.0,,true,AMOUNT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1d89c792-4f33-1b92-7a33-0e2a1c36f845,Product,Crimson Roses,<p>Made out of Polymer Clay<br><br>14K Gold Plated Backing &amp; lightweight<br><br>Hand made with ♡</p>,b09bd3_99c251df46c5498a8367b3ed12791c2e~mv2.jpg,Earrings;New Items,,,16.0,,true,AMOUNT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_68a15477-d50a-f916-fbc0-134303354b7b,Product,Luna Rose,<p>Made out of Polymer Clay &amp; hand painted<br><br>14K Gold Plated Backings &amp; lightweight<br><br>Hand made with ♡</p>,b09bd3_a70cc84687cc4c1a8b3f48a844324552~mv2.jpg;b09bd3_f935412a35534e29b3961ce6d5658d58~mv2.jpg,Earrings;New Items,,,23.0,,true,AMOUNT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_76964644-4ef7-6e19-7ec3-0121a9ae97b1,Product,Chocolate Bar Notepad,"<p>Chocolate Bar Notepad </p><p>Professionally Printed</p><p> 5.5” X&nbsp; 5. 5""</p><p>50 sheets</p>",b09bd3_69b3a3d88f3c48f1946a13e9f40d8206~mv2.jpg;b09bd3_ea38db8fe44243e1a913847cf1eedb77~mv2.jpg;b09bd3_7bb25e46b77c4dbb82e14fec378d4624~mv2.jpg;b09bd3_b4b7276191e14c1ab853641abbb3a3e9~mv2.jpg;b09bd3_57a38981cc84425bac0793d980426c3f,New Items;Notepads;Stationary;WHOLESALE,,,11.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a8e518d5-8174-940e-3ccf-e9c26d202ae2,Product,Blue Cloud Notepad,"<p>Blue Cloud Notepad </p><p>Professionally Printed</p><p> 5.5” X&nbsp; 5. 5""</p><p>50 sheets</p>",b09bd3_fbebad65d62a406ea92e705e2720c799~mv2.jpg;b09bd3_7bb25e46b77c4dbb82e14fec378d4624~mv2.jpg;b09bd3_db57ca7265ff4fc1bb27ac2acf1008c1~mv2.jpg;b09bd3_6331c490e8fc4b1b94d0a2c610f520b7,New Items;Notepads;Stationary;WHOLESALE,,,11.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3f2afeb8-cf7c-6477-67f6-9d9881e61246,Product,Rainbow Cloud Notepad,"<p>Rainbow Cloud Notepad </p><p>Professionally Printed</p><p> 5.5” X&nbsp; 5. 5""</p><p>50 sheets</p>",b09bd3_160b7b459d93498fb8c7a669f1ca4604~mv2.jpg;b09bd3_34db215ae24a4705991749b07af549b4~mv2.jpg;b09bd3_05593c649c614292861e3c7ab44f4942~mv2.jpg;b09bd3_78a0004505d74389b829117fcc443c9a,New Items;Notepads;Stationary;WHOLESALE,,,11.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_58ed4897-e96c-befb-9f27-5a6f98ceae0c,Product,Strawberry Cupcake Notepad,<p>Strawberry Cupcake Notepad</p><p>Profesionally Printed<br>5.5” X&nbsp; 8.5”</p><p>50 sheets</p>,b09bd3_0614e7d5216d48159e2faacc8dbdd5db~mv2.jpg;b09bd3_2df59009bb514e9f8a8c65455e47bed4~mv2.jpg;b09bd3_328dbd4632a248a5a363e9fe4a4622ea~mv2.jpg;b09bd3_70587f21e4cc40718725d10e29e5a104,New Items;Notepads;Stationary;WHOLESALE,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_cf8374e3-bc6b-336e-cd53-b5a0a2a83001,Product,Ice Cream Drip Notepad,<p>Ice Cream Drip Notepad</p><p>Profesionally Printed<br>5.5” X&nbsp; 8.5”</p><p>50 sheets</p>,b09bd3_93d399d7442441d59af5ae28550a3ce7~mv2.jpg;b09bd3_e01e87b7e76045fbb89bb8f216b2c693~mv2.jpg;b09bd3_0f41d3ca20384dd395009bcf6c86bbf6~mv2.jpg;b09bd3_2df59009bb514e9f8a8c65455e47bed4~mv2.jpg;b09bd3_b5c400f2e0c84edf824e8cf2f01c5802,New Items;Notepads;Stationary;WHOLESALE,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7df098d6-ac0a-372d-7565-2173aed35092,Product,Macaron Notepad,"<p>Macaron Notepad </p><p>Professionally Printed</p><p> 5.5” X&nbsp; 5. 5""</p><p>50 sheets</p>",b09bd3_366159173e5c42b48092d40e96b396c2~mv2.jpg;b09bd3_0ddf3863d4d04ad3bc3e995a525d8b27~mv2.jpg;b09bd3_3b62ccd6cffd4732bcc6ad45802ff63a~mv2.jpg;b09bd3_15b06fd0512147a49e7d6a536c057a5b,New Items;Notepads;Stationary;WHOLESALE,,,11.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_cc4522bb-b8f0-459b-01cc-de7ff354f7de,Product,Moon Notepad,<p>Moon Notepad</p><p>Profesionally Printed<br>5.5” X&nbsp; 8.5”</p><p>50 sheets</p>,b09bd3_eeb70b4853ba474d87f0fd8a107fe07b~mv2.jpg;b09bd3_f4ee66e4298d44aa8b65f5e98253ac46~mv2.jpg;b09bd3_7cb33454352e4d3bb54db4d5fe0addcc~mv2.jpg;b09bd3_2df59009bb514e9f8a8c65455e47bed4~mv2.jpg;b09bd3_3ce733bca3aa4359a915ecef617eddc8,New Items;Notepads;Stationary;WHOLESALE,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0aaf35e7-bc74-985c-bc6c-1b5942471459,Product,Donut Dreams Notepad,"<p>Donut Dreams Notepad </p><p>Professionally Printed</p><p> 5.5” X&nbsp; 5. 5""</p><p>50 sheets</p>",b09bd3_d32f7f05341046fc9c0ff5e63d6cfd38~mv2.jpg;b09bd3_d444baddd2654a3d89d64a0b8262b803~mv2.jpg;b09bd3_0c41b37306ed4f10b24583572016516c~mv2.jpg;b09bd3_05593c649c614292861e3c7ab44f4942~mv2.jpg;b09bd3_c38e2c37558d4b48a0b9c939ed784175~mv2.jpg;b09bd3_1729128814c34bdbbad7a4c5717210e9,New Items;Notepads;Stationary;WHOLESALE,,,11.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_59ae4ce6-4ee7-7cc8-d537-823f8edf1e8b,Product,Cosmic Brownie Notepad,<p>Cosmic Brownie Notepad</p><p>Profesionally Printed<br>5.5” X&nbsp; 8.5”</p><p>50 sheets</p>,b09bd3_b2e48ea154734f8db831a7d346158af2~mv2.jpg;b09bd3_777499d3f9a34a00a91c00c6140dcc07~mv2.jpg;b09bd3_2df59009bb514e9f8a8c65455e47bed4~mv2.jpg;b09bd3_972fca7f7a9c4f1eb381e170506ca671,New Items;Notepads;Stationary;WHOLESALE,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
